dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error
1.0,2,200.0,1.368874509537081,1e-06,50000.0,0.007559593418453025,1.685312440601412e-05,1.0077901459078138,0.007541477934869715,3.9999474271100116e-05,4.314000402282163e-06,0.0005609227452209771,0.0011279746842351075,0.9999113861604885,0.42399214013741027,0.0011653291554197833,0.9999348512617559,0.8728951158765699,0.001105700535500361,1.0002291465299893
1.0,2,200.0,1.484968262254465,1e-06,50000.0,0.008579165632671198,1.6972861112170457e-05,1.007362336677188,0.008563383089727965,3.5837975461606335e-05,4.088417502826031e-06,0.0005494212107913035,0.001105250613117581,0.9999074602186526,0.4230919458801591,0.0011417349149154077,0.9999318455685486,0.8722661354153355,0.0010829343102394804,1.0002381684463024
1.0,2,200.0,1.6109078842068332,1e-06,50000.0,0.006420155352880105,1.7283389917097908e-05,1.0071801099845772,0.006404280600336721,2.8569711490061725e-05,1.8754359564176712e-06,0.0004087746713946597,0.000826205484267132,0.9999055864037617,0.41962883488274455,0.0008514330208140058,0.9999308604743496,0.8698922527738433,0.0008062467586395888,1.0002418958084665
1.0,2,200.0,1.7475284000076838,1e-06,50000.0,0.003960860805066633,1.761378071776846e-05,1.0064853888510459,0.003943319020832003,2.436158526081199e-05,5.73198654404509e-07,0.00028444051010173847,0.0005797890390247543,0.9999083974537033,0.4167665627252854,0.0005952342272655952,0.9999320961839201,0.8679323597257999,0.0005643722382072299,1.0002390094596378
1.0,2,200.0,1.8957356524063758,1e-06,50000.0,0.0026220075337729507,1.776211910870664e-05,1.0056701102000931,0.0026027204132663207,2.3697749763573255e-05,2.3683410078266343e-07,0.00023248885470481372,0.00047688578444854895,0.9999128842619521,0.415978827442004,0.0004882280702411103,0.9999335253520706,0.8674017565755793,0.0004642193990800728,1.0002350820089914
1.0,2,200.0,2.0565123083486516,1e-06,50000.0,0.0027104207594466968,1.75919568300051e-05,1.0060412008911606,0.0026909966980539087,2.533145237831025e-05,4.044066558338156e-07,0.00026526794161588836,0.0005416134454386294,0.9999168489843071,0.417445767488869,0.0005551337309196786,0.9999342812278521,0.8684220904481696,0.0005274435244992727,1.0002326062911295
1.0,2,200.0,2.2309243744089824,1e-06,50000.0,0.003716375330539242,1.734982777990172e-05,1.00649027349384,0.0036998008683836133,2.585900101507497e-05,1.0467558880476983e-06,0.0003367415909090754,0.0006832214055662165,0.9999179433166354,0.4190119302211517,0.0007027314059073419,0.9999338185183992,0.8694928417776243,0.000665652880164802,1.0002333635290348
1.0,2,200.0,2.4201282647943816,1e-06,50000.0,0.0036232176349393842,1.7463284349314113e-05,1.0061209493350622,0.003608543425333202,2.3335643715972873e-05,1.0175437957300015e-06,0.00031665005262866057,0.0006437080532061743,0.9999152477800146,0.417897855773373,0.0006632016558981538,0.9999324357193681,0.8687168785701508,0.0006260471907427921,1.000237322063011
1.0,2,200.0,2.625378468783062,1e-06,50000.0,0.0025843182459122345,1.7856942753466893e-05,1.0065630594065444,0.0025693508846374173,2.049570461308257e-05,4.458510399422171e-07,0.00023221502227966718,0.0004769786470062753,0.9999130031118483,0.4153402755584562,0.0004913177967246472,0.9999315526116624,0.866952025010041,0.00046217776526464015,1.0002402834045123
1.0,2,200.0,2.8480358684358014,1e-06,50000.0,0.0016379788060394656,1.830060402323852e-05,1.0059003898137613,0.0016220476129633734,1.8824533337111743e-05,1.2771632099203308e-07,0.00015933738714118056,0.0003334313344829794,0.9999137759556893,0.4131210994248818,0.000343108908758981,0.9999313705741537,0.8654188363210493,0.0003220188320139035,1.0002411503208
1.0,2,200.0,3.089576761729402,1e-06,50000.0,0.0010136882876282454,1.868676248473322e-05,1.00584204319832,0.0009967216594313436,1.823152661228469e-05,2.6094696346040357e-08,0.00011309953330167089,0.00024274410143711005,0.9999166922682731,0.4117470846670788,0.000249475631410273,0.9999314598250931,0.8644694499132067,0.0002338772481006184,1.00024105185437
